DATE,pair_trading,t_strategy,combined
2018-03-30,2.0879522294128297,0.04288382982788548,2.136472963481058
2018-04-02,2.0689791659866685,0.04268382982788548,2.1177185728620977
2018-04-03,1.9765613425051498,0.038932132789931205,2.0219662187398706
2018-04-04,1.9499405917508654,0.03585523794668954,1.9926848928759004
2018-04-05,1.9836872600965614,0.03642634721410367,2.0270026704890087
2018-04-06,1.964300597960924,0.039085321227657364,2.01027498236693
2018-04-09,1.9674163072279605,0.038499917205523614,2.0128052876118305
2018-04-10,1.9782735525913644,0.035042577072665136,2.020205192842376
2018-04-11,1.9292746154992968,0.03542678714057739,1.971590465818219
2018-04-12,1.7191400208144505,0.032736807773556496,1.7587658917663502
2018-04-13,1.6134374816299961,0.03301853230393597,1.6533450771122773
2018-04-16,1.6303597002914887,0.03408158717137529,1.6713303506412105
2018-04-17,1.6316413137560857,0.03346144003442449,1.6719918169688537
2018-04-18,1.7267048306320243,0.0331199215281232,1.7667138153384943
2018-04-19,1.8709272521303055,0.035275180731209825,1.9130914960398615
2018-04-20,1.9319512177375682,0.03733561207000768,1.9761758929859223
2018-04-23,1.9401815924654402,0.03920177957951195,1.9862724352232972
2018-04-24,1.9115970691220059,0.04045639293615396,1.9589425252365016
2018-04-25,1.8585615208834816,0.040959410474162676,1.9064099945359911
2018-04-26,1.703089714245476,0.03889457707796661,1.7488733545017898
2018-04-27,1.8436652770779358,0.038091358670400165,1.8886456989266822
2018-04-30,1.7587188514713707,0.039629578726877106,1.8052374933765907
2018-05-01,1.7807303717359093,0.03890883280890845,1.8265323825364925
2018-05-02,1.7439885890472473,0.036400453836706655,1.7872822208756278
2018-05-03,1.780256227699415,0.03690348887165699,1.824052894562747
2018-05-04,1.7773459421798754,0.03712828141900685,1.821367401590559
2018-05-07,1.7676109102058617,0.03641513800231725,1.8109192261998506
2018-05-08,1.9273418311844757,0.04100790003954203,1.97524290921569
2018-05-09,1.964509842991374,0.04237757502069315,2.013780596003742
2018-05-10,1.9061164739397185,0.04297451536209627,1.955984167293487
2018-05-11,2.001079144335111,0.044792303897790466,2.052764626224572
2018-05-14,1.9959079882982853,0.045908031110937726,2.04871284503905
2018-05-15,2.0800420022404316,0.0480952187430484,2.135034046613309
2018-05-16,2.0009094251483917,0.04481813702695057,2.052624387805172
2018-05-17,2.019988351062058,0.04477757944321035,2.0716627561350984
2018-05-18,2.149171676490915,0.04380539035854856,2.1998738924792924
2018-05-21,2.091862450115162,0.04278265292527798,2.1415419286702693
2018-05-22,2.1255912263451315,0.04407110730141351,2.176559159276375
2018-05-23,2.074064396175328,0.04248510414337193,2.123446325948529
2018-05-24,2.1300497493344634,0.04269163641499749,2.1796382113792894
2018-05-25,2.1793501617243,0.04410994682609543,2.2303605906544677
2018-05-28,2.128859754237033,0.040625920883092644,2.1763861572241985
2018-05-29,1.9550428878270045,0.04031896638236613,2.002262336313443
2018-05-30,2.091329005995868,0.039491943291496835,2.1377214313914377
2018-05-31,2.1204816519693543,0.04017141121469237,2.167553545288119
2018-06-01,2.179032398960055,0.03974775630157202,2.2257808991131753
2018-06-04,2.300972460527556,0.03648516544295525,2.3444583698220582
2018-06-05,2.353737365709633,0.03883294272346153,2.399571052284642
2018-06-06,2.4544939128511274,0.03752218246495007,2.499016839167623
2018-06-07,2.463703276984985,0.04096695967662404,2.511670980513158
2018-06-08,2.479146008585233,0.03977199239499455,2.525918744831777
2018-06-11,2.5476718308289357,0.03990646199391166,2.5945790366743964
2018-06-12,2.604252269075788,0.040629138401255295,2.6518821513285893
2018-06-13,2.663488967059674,0.04113969842141844,2.7116330344912396
2018-06-14,2.585267173205363,0.038424405959720666,2.6306959481752314
2018-06-15,2.619746387234331,0.04130954090519746,2.668060297149673
2018-06-18,2.585056545471919,0.04309237872189673,2.635153293203964
2018-06-19,2.5025571832394604,0.04542682039598354,2.5549883726455906
2018-06-20,2.520965158048429,0.04649593381794243,2.574465460876517
2018-06-21,2.5246588750523054,0.04717446791830244,2.578837711980754
2018-06-22,2.533806708749734,0.046266393501740756,2.5870774712616202
2018-06-25,2.532764697080589,0.048741649329201366,2.588510715419934
2018-06-26,2.530321776146583,0.0486023195496502,2.585928464706381
2018-06-27,2.4945055131103917,0.04933289769597985,2.550842779816517
2018-06-28,2.525350674258243,0.05032245197529684,2.5826774952436855
2018-06-29,2.645093620598836,0.052552522579853496,2.7046505121888362
2018-07-02,2.610297673953688,0.05470498911889022,2.672007315585667
2018-07-03,2.7123995340621483,0.05242454817311371,2.7718287347483526
2018-07-04,2.7694584755628653,0.05214792505505029,2.828611053131007
2018-07-05,2.751202365126561,0.05176824664067831,2.809975264280326
2018-07-06,2.7849955604210206,0.05013710273546668,2.8421373156695746
2018-07-09,2.769074176724444,0.04879271981850492,2.8248715490560388
2018-07-10,2.8009262310821312,0.04874188889637277,2.856694698241114
2018-07-11,2.8070170997368393,0.052432534713624974,2.8664762127130703
2018-07-12,2.8914461785812406,0.048170856527762325,2.9466436133716107
2018-07-13,2.906459646079429,0.048925297411144826,2.9624115217531832
2018-07-16,2.8503874872377626,0.050433470204686366,2.907851097751454
2018-07-17,2.8003349040286465,0.04930955775401303,2.8566746020916622
2018-07-18,2.792596924902011,0.048482703472491596,2.8481097686835057
2018-07-19,2.736685621687394,0.05164784012231944,2.795363602118716
2018-07-20,2.7748536379546493,0.05046637414066991,2.832350152404322
2018-07-23,2.7750336997971665,0.05218533265948256,2.83424917276565
2018-07-24,2.822955178625308,0.04982360750359983,2.879808926437911
2018-07-25,2.819374821102492,0.04865481801206962,2.875059779423565
2018-07-26,2.8355493322652996,0.05085357323453394,2.8934330458088358
2018-07-27,2.8129528796468053,0.05017100176423717,2.870154021720047
2018-07-30,2.787159975361492,0.051387419123454854,2.8455775347939496
2018-07-31,2.7992804698689504,0.04990916099831955,2.856219771176274
